IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
204.110.221.166,80,443,true,PDX,North America,Portland,204,7.95
3.144.191.4,443,443,true,CMH,North America,Columbus,225,7.95
204.110.220.31,80,443,true,PDX,North America,Portland,196,7.94
204.110.220.138,80,443,true,PDX,North America,Portland,220,7.94
18.221.37.149,2053,443,true,CMH,North America,Columbus,216,7.94
54.148.168.74,443,443,true,SEA,North America,Seattle,203,7.93
204.110.220.39,80,443,true,PDX,North America,Portland,205,7.93
204.110.220.25,80,443,true,PDX,North America,Portland,196,7.93
204.110.220.41,80,443,true,PDX,North America,Portland,202,7.93
204.110.220.18,80,443,true,PDX,North America,Portland,207,7.93
3.76.179.225,443,443,true,FRA,Europe,Frankfurt,171,7.93
204.110.221.120,80,443,true,PDX,North America,Portland,201,7.92
204.110.221.29,80,443,true,PDX,North America,Portland,237,7.91
204.110.220.98,80,443,true,PDX,North America,Portland,210,7.91
3.144.81.232,443,443,true,ORD,North America,Chicago,236,7.90
204.110.220.50,80,443,true,PDX,North America,Portland,199,7.90
204.110.221.45,80,443,true,PDX,North America,Portland,202,7.90
204.110.220.93,80,443,true,PDX,North America,Portland,195,7.90
34.222.109.101,443,443,true,SEA,North America,Seattle,198,7.90
54.200.244.93,443,443,true,SEA,North America,Seattle,199,7.90
204.110.221.106,80,443,true,PDX,North America,Portland,204,7.89
204.110.221.182,80,443,true,PDX,North America,Portland,201,7.89
204.110.220.44,80,443,true,PDX,North America,Portland,201,7.89
204.110.221.141,80,443,true,PDX,North America,Portland,204,7.89
204.110.220.235,80,443,true,PDX,North America,Portland,194,7.89
204.110.220.76,80,443,true,PDX,North America,Portland,218,7.89
204.110.221.227,80,443,true,PDX,North America,Portland,203,7.89
35.86.91.49,443,443,true,SEA,North America,Seattle,202,7.89
204.110.221.139,80,443,true,PDX,North America,Portland,202,7.88
204.110.221.70,80,443,true,PDX,North America,Portland,201,7.87
204.110.221.40,80,443,true,PDX,North America,Portland,194,7.87
204.110.221.31,80,443,true,PDX,North America,Portland,222,7.86
3.17.59.81,443,443,true,CMH,North America,Columbus,223,7.86
204.110.220.236,80,443,true,PDX,North America,Portland,225,7.86
204.110.220.140,80,443,true,PDX,North America,Portland,201,7.85
54.188.73.214,443,443,true,SEA,North America,Seattle,202,7.85
204.110.221.109,80,443,true,PDX,North America,Portland,209,7.84
204.110.220.17,80,443,true,PDX,North America,Portland,205,7.84
204.110.220.181,80,443,true,PDX,North America,Portland,216,7.84
204.110.220.243,80,443,true,PDX,North America,Portland,201,7.83
204.110.220.149,80,443,true,PDX,North America,Portland,206,7.82
35.94.215.77,443,443,true,SEA,North America,Seattle,194,7.81
3.22.68.34,443,443,true,ORD,North America,Chicago,224,7.81
204.110.221.168,80,443,true,PDX,North America,Portland,201,7.81
204.110.220.51,80,443,true,PDX,North America,Portland,194,7.80
3.131.153.127,443,443,true,ORD,North America,Chicago,224,7.80
204.110.220.46,80,443,true,PDX,North America,Portland,204,7.79
54.200.230.197,443,443,true,SEA,North America,Seattle,194,7.79
204.110.221.148,80,443,true,PDX,North America,Portland,213,7.78
3.139.83.162,443,443,true,ORD,North America,Chicago,216,7.78
204.110.221.203,80,443,true,PDX,North America,Portland,213,7.77
204.110.221.163,80,443,true,PDX,North America,Portland,203,7.77
204.110.221.7,80,443,true,PDX,North America,Portland,201,7.76
204.110.221.155,80,443,true,PDX,North America,Portland,193,7.76
